発電所,発電所ユニット,統合PIDコード,PIDコード,PID名,単位
上越火力発電所,共通,J__AZZZ=00D01734,00D01734,No.1ｱﾝﾓﾆｱﾀﾝｸﾛｰﾘ除害散水弁全開NOT,
上越火力発電所,共通,J__AZZZ=00D01735,00D01735,No.2ｱﾝﾓﾆｱﾀﾝｸﾛｰﾘ除害散水弁全閉NOT,
上越火力発電所,共通,J__AZZZ=00D01736,00D01736,No.2ｱﾝﾓﾆｱﾀﾝｸﾛｰﾘ除害散水弁全開NOT,
上越火力発電所,共通,J__AZZZ=00D01740,00D01740,ｱﾝﾓﾆｱ装置計器用空気圧力低,
上越火力発電所,共通,J__AZZZ=00D01741,00D01741,ｱﾝﾓﾆｱ装置希釈槽ﾚﾍﾞﾙ低,
上越火力発電所,共通,J__AZZZ=00D01742,00D01742,ｱﾝﾓﾆｱ装置希釈槽ﾚﾍﾞﾙ高,
上越火力発電所,共通,J__AZZZ=00D01744,00D01744,ｱﾝﾓﾆｱ装置共通制御電源喪失,
上越火力発電所,共通,J__AZZZ=00D01748,00D01748,No.1ｱﾝﾓﾆｱ装置制御電源喪失,
上越火力発電所,共通,J__AZZZ=00D01749,00D01749,No.1ｱﾝﾓﾆｱ装置計器電源喪失,
上越火力発電所,共通,J__AZZZ=00D01750,00D01750,No.1ｱﾝﾓﾆｱﾀﾝｸ計器電源喪失,
上越火力発電所,共通,J__AZZZ=00D01751,00D01751,No.1ｱﾝﾓﾆｱ装置計器故障,
上越火力発電所,共通,J__AZZZ=00D01752,00D01752,No.1ｱﾝﾓﾆｱﾀﾝｸ温度高,
上越火力発電所,共通,J__AZZZ=00D01753,00D01753,No.1ｱﾝﾓﾆｱﾀﾝｸ圧力高,
上越火力発電所,共通,J__AZZZ=00D01754,00D01754,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ高,
上越火力発電所,共通,J__AZZZ=00D01755,00D01755,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ低,
上越火力発電所,共通,J__AZZZ=00D01756,00D01756,No.1ｱﾝﾓﾆｱﾀﾝｸ温度上昇防止散水弁開,
上越火力発電所,共通,J__AZZZ=00D01757,00D01757,No.1ｱﾝﾓﾆｱ気化器温度高,
上越火力発電所,共通,J__AZZZ=00D01758,00D01758,No.1ｱﾝﾓﾆｱ気化器温度低,
上越火力発電所,共通,J__AZZZ=00D01761,00D01761,No.1ｱﾝﾓﾆｱ気化器圧力高ﾄﾘｯﾌﾟ,
上越火力発電所,共通,J__AZZZ=00D01763,00D01763,No.1ｱﾝﾓﾆｱ気化器計器電源喪失,
上越火力発電所,共通,J__AZZZ=00D01764,00D01764,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ極高,
上越火力発電所,共通,J__AZZZ=00D01765,00D01765,No.1ｱﾝﾓﾆｱﾀﾝｸ出口遮断弁異常閉,
上越火力発電所,共通,J__AZZZ=00D01770,00D01770,No.2ｱﾝﾓﾆｱ装置制御電源喪失,
上越火力発電所,共通,J__AZZZ=00D01771,00D01771,No.2ｱﾝﾓﾆｱ装置計器電源喪失,
上越火力発電所,共通,J__AZZZ=00D01772,00D01772,No.2ｱﾝﾓﾆｱﾀﾝｸ計器電源喪失,
上越火力発電所,共通,J__AZZZ=00D01773,00D01773,No.2ｱﾝﾓﾆｱ装置計器故障,
上越火力発電所,共通,J__AZZZ=00D01774,00D01774,No.2ｱﾝﾓﾆｱﾀﾝｸ温度高,
上越火力発電所,共通,J__AZZZ=00D01775,00D01775,No.2ｱﾝﾓﾆｱﾀﾝｸ圧力高,
上越火力発電所,共通,J__AZZZ=00D01776,00D01776,No.2ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ高,
