INTEGRATION_PID_CODE,MEAS_DATETIME,KKS_UNIT_CODE,PID_CODE,PID_NAME,SI_UNIT,LOWER_LIMIT_NUMBER,UPPER_LIMIT_NUMBER,OFF_STATUS_NAME,ON_STATUS_NAME,DATA_CLASS_CODE,MEAS_NAME,DB_NAME,PLANT_CODE,UNIT_NAME,PRELIM_CODE,ALARM_FLAG,DECIMAL_POINT_NUMBER,MEAS_VALUE,QUALITY_NUMBER,CORR_PID_NAME,SDR_SI_UNIT,SDR_XFORM_COEF,CORR_COEF,CORR_MEAS_VALUE,CORR_LOWER_LIMIT_NUMBER,CORR_UPPER_LIMIT_NUMBER,REG_PROJ_NAME,DELETE_FLAG,VALUE_CLASS_NAME,INPUT_TYPE_CLASS,DRAWING_NUMBER,STAT_CALC_VALUE_CLASS,ADDITION_GRANULARITY_CLASS,FUEL_TYPE_CLASS,VALUE_TYPE_CLASS,FETCH_POINT_TEXT,VALUE_RANGE_TEXT,VALUE_OUTPUT_COND_TEXT,INFLUX_LINK_NUMBER,INFLUX_LINK_FLAG,PLANT_LINK_ORDER_FLAG,PLANT_LINK_FLAG,CREATE_AT,UPDATE_AT,PROCESS_AT,PROCESS_ID,JST_TIME
J__AZZZ=00D00038,2025-04-09 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1408.0078125,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-09 00:00:50.413 +0900,,2025-04-09 00:02:00.901 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-09 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-10 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1381.640625,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-10 00:00:50.362 +0900,,2025-04-10 00:02:01.057 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-10 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-11 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1351.171875,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-11 00:00:49.774 +0900,,2025-04-11 00:02:00.995 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-11 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-12 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1310.15625,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-12 00:00:50.538 +0900,,2025-04-12 00:02:01.044 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-12 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-13 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1292.7734375,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-13 00:00:50.388 +0900,,2025-04-13 00:02:00.834 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-13 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-14 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1266.015625,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-14 00:00:49.664 +0900,,2025-04-14 00:02:01.330 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-14 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-15 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1232.6171875,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-15 00:00:50.167 +0900,,2025-04-15 00:02:01.082 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-15 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-16 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1201.7578125,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-16 00:00:50.210 +0900,,2025-04-16 00:02:01.024 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-16 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-17 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1181.4453125,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-17 00:00:49.640 +0900,,2025-04-17 00:02:01.039 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-17 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-18 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1159.5703125,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-18 00:00:50.087 +0900,,2025-04-18 00:02:01.204 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-18 00:00:00.000 +0900
